Issue Type,Summary,Description,Epic Link,Sprint,Assignee,Story Points,Labels
Story,HU-12 Modelar plantas y helechos,"Como artista 3D necesito la flora del tramo para las fichas. Habilita RF-009. RESPONSABLE: Felipe Acevedo. Criterios de aceptacion: (1) helechos, musgos y especies nativas modelados o escaneados; (2) escaneo con celular en el propio sendero donde sea viable; (3) helecho arboreo incluido por ser POI confirmado, con la especie concreta identificada en V1; (4) nombres verificados y lo no verificado marcado por verificar.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,8,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-12.1 Modelar y escanear plantas,"Subtarea de HU-12. Helechos, musgos y especies nativas del bosque altoandino. Referencia: encenillo, raque, tibar, cedro y chuwaca de docs/05-catalogo-fauna-y-flora.md. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,5,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-12.2 Limpiar escaneos y reducir geometria,"Subtarea de HU-12. Dejar los escaneos utilizables dentro del presupuesto web. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,3,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-12.3 Cotejar con las fotos de referencia de campo,"Subtarea de HU-12. Verificar que lo modelado corresponde a lo que hay en el tramo. RESPONSABLE: Alberto Aleman.",E3 Puntos de interes fichas 3D y sonido,S2b,Alberto Aleman,2,S2b;E3;3d-asset;resp-alberto-aleman
Story,HU-13 Escanear detalle y modelar el puente y la senalizacion,"Como artista 3D necesito los elementos del sendero. Habilita RF-009. Regla: lo pequeno se escanea, lo grande se modela. RESPONSABLE: Felipe Acevedo (modelado) y Alberto Aleman (escaneos de detalle). Criterios de aceptacion: (1) insectos, minerales y piezas del sendero escaneados; (2) puente de madera y senalizacion modelados; (3) el puente de madera queda listo como POI confirmado.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,8,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-13.1 Escaneos de detalle y limpieza,"Subtarea de HU-13. Insectos, minerales y piezas del sendero. Movido desde Felipe para equilibrar la carga de S2b. RESPONSABLE: Alberto Aleman.",E3 Puntos de interes fichas 3D y sonido,S2b,Alberto Aleman,3,S2b;E3;3d-asset;resp-alberto-aleman
Sub-task,HU-13.2 Modelar el puente de madera y la senalizacion,"Subtarea de HU-13. El puente es POI confirmado. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,5,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-13.3 Revisar coherencia visual del conjunto,"Subtarea de HU-13. Que todos los modelos se lean como una misma familia visual. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S2b,Eybar Viasus,2,S2b;E3;ui-ux;resp-eybar-viasus
Story,HU-14 Optimizar y exportar dentro del presupuesto web,"Como artista 3D necesito que los modelos no rompan el rendimiento. Implementa RNF-012 y RNF-001. RESPONSABLE: Felipe Acevedo. Criterios de aceptacion: (1) presupuesto de triangulos y de peso definido por modelo, resuelve V10; (2) todos los modelos exportados a .glb dentro del presupuesto, con su animacion idle incluida; (3) materiales compatibles con el visor de ficha; (4) probado que un .glb carga en el navegador sin errores de material.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,8,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-14.1 Reducir poligonos y exportar a glTF,"Subtarea de HU-14. Export a .glb de todo el catalogo, con animaciones. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,5,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-14.2 Fijar el presupuesto de triangulos y peso,"Subtarea de HU-14. Basado en el objetivo de 30 fps en gama media, contando el coste de la animacion. RESPONSABLE: Alejandra Chambueta.",E3 Puntos de interes fichas 3D y sonido,S2b,Alejandra Chambueta,2,S2b;E3;resp-alejandra-chambueta
Sub-task,HU-14.3 Probar carga de un .glb en un visor minimo,"Subtarea de HU-14. Verificar que no hay errores de material antes de dar el catalogo por cerrado. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S2b,David Beltran,2,S2b;E3;resp-david-beltran
Story,HU-15 Narraciones cantos y transcripciones,"Como equipo de contenido necesitamos el audio de las fichas. Implementa RF-011, RF-012, RF-024 y RNF-006. RESPONSABLE: Alberto Aleman. Criterios de aceptacion: (1) narracion corta escrita y grabada por cada POI; (2) canto disponible para cada POI de fauna, grabado en el propio sendero; (3) TRANSCRIPCION textual de cada narracion, exigido por RNF-006; (4) audio normalizado y en formato web. REGLA: si un canto no se logra grabar, la ficha lo dice y no suena. No se descarga de bancos de sonido.",E3 Puntos de interes fichas 3D y sonido,S2b,Alberto Aleman,5,S2b;E3;audio;resp-alberto-aleman
Sub-task,HU-15.1 Seleccionar y editar los cantos capturados,"Subtarea de HU-15. A partir del audio grabado en V2 y V3. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,2,S2b;E3;audio;resp-felipe-acevedo
Sub-task,HU-15.2 Redactar narraciones y transcripciones,"Subtarea de HU-15. Texto corto por POI, en espanol, con su transcripcion. RESPONSABLE: Alberto Aleman.",E3 Puntos de interes fichas 3D y sonido,S2b,Alberto Aleman,2,S2b;E3;docs;resp-alberto-aleman
Sub-task,HU-15.3 Revisar tono y longitud para la ficha,"Subtarea de HU-15. Que quepan en el panel sin saturarlo. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S2b,Eybar Viasus,1,S2b;E3;ui-ux;resp-eybar-viasus
Sub-task,HU-15.4 Convertir y normalizar el audio,"Subtarea de HU-15. Formato web y niveles homogeneos entre POIs. Preparar tambien el lecho ambiente y las fuentes puntuales de HU-46. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S2b,David Beltran,2,S2b;E3;audio;resp-david-beltran
Story,HU-16 Cargar la primera escena sin instalacion,"Como visitante quiero que la primera escena cargue en el navegador sin instalar nada. Implementa RF-001 y RF-002. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) la primera escena .sog carga desde una URL sin instalar nada; (2) funciona en Chrome escritorio y en un celular real; (3) WebGPU con repliegue automatico a WebGL verificado, resuelve V7; (4) dispositivo de referencia de gama media definido, resuelve V6.",E2 Motor de recorrido web,S3,Alejandra Chambueta,8,S3;E2;resp-alejandra-chambueta
Sub-task,HU-16.1 Proyecto base con componente gsplat,"Subtarea de HU-16. Asset tipo gsplat y GSplatComponent con PlayCanvas Engine 2.21. Se crea src/app y src/engine. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S3,Alejandra Chambueta,3,S3;E2;resp-alejandra-chambueta
Sub-task,HU-16.2 Deteccion de WebGPU y repliegue a WebGL,"Subtarea de HU-16. Nunca exigir WebGPU: romperia RNF-004. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S3,Alejandra Chambueta,3,S3;E2;resp-alejandra-chambueta
Sub-task,HU-16.3 Publicar los .sog en una URL accesible,"Subtarea de HU-16. Hosting estatico con HTTPS. RESPONSABLE: Juan Urrego.",E2 Motor de recorrido web,S3,Juan Urrego,2,S3;E2;resp-juan-urrego
Sub-task,HU-16.4 Elegir el celular de referencia y probar HRTF,"Subtarea de HU-16. Sin un modelo concreto, gama media no es un criterio verificable. Aprovechar para resolver la validacion A3: si Safari iOS respeta panningModel HRTF o cae a equalpower. RESPONSABLE: David Beltran.",E2 Motor de recorrido web,S3,David Beltran,2,S3;E2;audio;resp-david-beltran
Story,HU-17 Progreso de carga y fallo con reintento,"Como visitante quiero ver el progreso y un mensaje claro si algo falla. Implementa RF-025, RNF-007 y RNF-002. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) indicador de progreso visible mientras carga; (2) si falla se informa en espanol y se ofrece reintentar; (3) NUNCA hay pantalla en negro; (4) probado forzando un fallo de red; (5) el estado de error no se comunica solo por color, lo exige RNF-006.",E2 Motor de recorrido web,S3,Alejandra Chambueta,5,S3;E2;ui-ux;resp-alejandra-chambueta
Sub-task,HU-17.1 Estados de carga y error en el motor,"Subtarea de HU-17. Maquina de estados: Cargando, Error, Reintentando. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S3,Alejandra Chambueta,3,S3;E2;resp-alejandra-chambueta
Sub-task,HU-17.2 Disenar estados de carga error y reintento,"Subtarea de HU-17. Diseno visual de los tres estados con los tokens de styles/tokens.css. RESPONSABLE: Eybar Viasus.",E2 Motor de recorrido web,S3,Eybar Viasus,2,S3;E2;ui-ux;resp-eybar-viasus
Sub-task,HU-17.3 Redactar los mensajes en espanol,"Subtarea de HU-17. Mensajes claros, sin jerga tecnica. RESPONSABLE: Alberto Aleman.",E2 Motor de recorrido web,S3,Alberto Aleman,1,S3;E2;ui-ux;resp-alberto-aleman
Story,HU-18 Avanzar y retroceder por el trazado,"Como visitante quiero moverme por el trazado guiado hacia adelante y atras. Implementa RF-003. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) el usuario avanza y retrocede a lo largo del trazado guiado; (2) funciona con teclado y raton en escritorio y con gesto tactil en celular; (3) el movimiento es continuo, sin saltos bruscos; (4) TourEngine publica el evento tour:progress, que es la frontera 1 con David.",E2 Motor de recorrido web,S3,Alejandra Chambueta,8,S3;E2;resp-alejandra-chambueta
Sub-task,HU-18.1 Motor de avance sobre el trazado,"Subtarea de HU-18. TourEngine con TrailPath.positionAt. Publica tour:progress con distanceMeters. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S3,Alejandra Chambueta,5,S3;E2;resp-alejandra-chambueta
Sub-task,HU-18.2 Definir gestos tactiles y control en escritorio,"Subtarea de HU-18. Que el control se entienda sin instrucciones. RESPONSABLE: Alberto Aleman.",E2 Motor de recorrido web,S3,Alberto Aleman,2,S3;E2;ui-ux;resp-alberto-aleman
Sub-task,HU-18.3 Pruebas de recorrido de extremo a extremo,"Subtarea de HU-18. Recorrer toda la escena en ambos sentidos. RESPONSABLE: David Beltran.",E2 Motor de recorrido web,S3,David Beltran,2,S3;E2;resp-david-beltran
Story,HU-19 Mirada libre 360 grados,"Como visitante quiero rotar la camara en cualquier punto del recorrido. Implementa RF-005. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) la camara rota 360 grados en cualquier punto; (2) rotar no desplaza al usuario fuera del trazado; (3) arrastre en escritorio y en tactil; (4) al rotar, la ambientacion sonora espacial se reorienta con la camara.",E2 Motor de recorrido web,S3,Alejandra Chambueta,5,S3;E2;resp-alejandra-chambueta
Sub-task,HU-19.1 Control de camara con rotacion libre,"Subtarea de HU-19. CameraRig con yaw y pitch. La camara la mueve solo TourEngine. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S3,Alejandra Chambueta,3,S3;E2;resp-alejandra-chambueta
Sub-task,HU-19.2 Definir limites verticales y sensibilidad,"Subtarea de HU-19. Que no se pueda quedar mirando el vacio. RESPONSABLE: Eybar Viasus.",E2 Motor de recorrido web,S3,Eybar Viasus,2,S3;E2;ui-ux;resp-eybar-viasus
Story,HU-20 Restringir el desplazamiento al trazado autorizado,"Como sistema debo impedir el movimiento fuera del trazado porque el sendero esta dentro de una reserva protegida. Implementa RF-004 y RNF-015. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) no existe movimiento libre fuera del trazado; (2) no hay forma de salirse ni por gesto ni por teclado; (3) el diseno refuerza el camino autorizado, no lo sugiere como opcional.",E2 Motor de recorrido web,S3,Alejandra Chambueta,5,S3;E2;resp-alejandra-chambueta
Sub-task,HU-20.1 Restriccion de posicion al trazado,"Subtarea de HU-20. TrailPath.clampToTrail: ninguna posicion llega a la camara sin pasar por aqui. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S3,Alejandra Chambueta,3,S3;E2;resp-alejandra-chambueta
Sub-task,HU-20.2 Verificar que la interfaz no insinua movimiento libre,"Subtarea de HU-20. Revision de affordances de la UI. RESPONSABLE: Alberto Aleman.",E2 Motor de recorrido web,S3,Alberto Aleman,2,S3;E2;ui-ux;resp-alberto-aleman
Story,HU-50 Identidad visual paleta tipografia y tokens,"Como equipo necesitamos una identidad visual definida antes de construir pantallas, para no repintar despues. Implementa RF-032 y RNF-006. RESPONSABLE: Eybar Viasus. Criterios de aceptacion: (1) paleta de grises, negros y verdes publicada en styles/tokens.css como variables CSS; (2) contraste AA calculado y documentado para cada combinacion de texto; (3) el verde-azulado queda reservado para la quebrada y los datos del recorrido; (4) tipografia elegida con cursiva real y cifras tabulares, cierra la pregunta D2; (5) ningun archivo .js escribe un color literal; (6) resueltas D1 y D4 con la evidencia de V1.",E4 Capa de datos y experiencia de usuario,S3,Eybar Viasus,8,S3;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-50.1 Publicar los tokens de color y verificar contraste,"Subtarea de HU-50. styles/tokens.css con las diez variables y su ratio de contraste documentado. Recordar: green-500 no vale para texto normal sobre fondo claro. RESPONSABLE: Eybar Viasus.",E4 Capa de datos y experiencia de usuario,S3,Eybar Viasus,3,S3;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-50.2 Elegir la familia tipografica,"Subtarea de HU-50. Sans humanista de licencia libre, con cursiva real para el nombre cientifico y cifras tabulares para el HUD. RESPONSABLE: Alberto Aleman.",E4 Capa de datos y experiencia de usuario,S3,Alberto Aleman,2,S3;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-50.3 Aplicar los tokens en el shell y el HUD,"Subtarea de HU-50. Implementacion en src/ui a partir del diseno. Ningun color literal en codigo. RESPONSABLE: Juan Urrego.",E4 Capa de datos y experiencia de usuario,S3,Juan Urrego,3,S3;E4;ui-ux;resp-juan-urrego
Story,HU-21 Encadenar las tres escenas,"Como visitante quiero recorrer el tramo como una sola experiencia continua. Implementa RF-017 y RF-002. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) las tres etapas se recorren como un solo tramo continuo de 200 m; (2) la transicion no muestra pantalla en negro ni salto de posicion; (3) la escena siguiente se precarga antes de llegar al limite; (4) el salto de color entre escenas no es perceptible; (5) los cortes coinciden con los puntos naturales decididos en V1.",E2 Motor de recorrido web,S4,Alejandra Chambueta,13,S4;E2;resp-alejandra-chambueta
Sub-task,HU-21.1 Encadenado y precarga de escenas,"Subtarea de HU-21. SceneLoader.preloadNext antes de alcanzar el limite. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S4,Alejandra Chambueta,8,S4;E2;resp-alejandra-chambueta
Sub-task,HU-21.2 Ajustar puntos de entrada y salida en scenes.json,"Subtarea de HU-21. Que la posicion no salte al cambiar de escena. RESPONSABLE: Juan Urrego.",E2 Motor de recorrido web,S4,Juan Urrego,3,S4;E2;resp-juan-urrego
Sub-task,HU-21.3 Correccion final de color si la transicion se nota,"Subtarea de HU-21. Volver a SuperSplat si hace falta. RESPONSABLE: Felipe Acevedo.",E2 Motor de recorrido web,S4,Felipe Acevedo,2,S4;E2;3d-asset;resp-felipe-acevedo
Story,HU-45 Nivel de detalle por proximidad al recorrido,"Como sistema debo gastar el detalle donde el visitante mira de cerca y ahorrarlo en el contexto. Implementa RF-027, definido en ADR-002. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) LOD por distancia configurado con lodBaseDistance y lodMultiplier; (2) lodBaseDistance ajustado para que el primer nivel cubra la banda de alta densidad de captura, aproximadamente 2 m; (3) valores reales medidos y documentados, resuelve V13; (4) NO hay salto de nivel de detalle visible al avanzar; (5) el mecanismo aprovecha que la camara va siempre sobre el trazado: distancia a camara equivale a distancia al recorrido.",E2 Motor de recorrido web,S4,Alejandra Chambueta,8,S4;E2;rendimiento;resp-alejandra-chambueta
Sub-task,HU-45.1 Implementar LodController,"Subtarea de HU-45. Nuevo modulo en src/engine. Configura lodBaseDistance y lodMultiplier segun el perfil de calidad. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S4,Alejandra Chambueta,5,S4;E2;resp-alejandra-chambueta
Sub-task,HU-45.2 Medir y fijar los valores reales de LOD,"Subtarea de HU-45. Barrido de valores sobre el dispositivo de referencia hasta que no se vea el salto y se sostengan los 30 fps. Cierra V13. RESPONSABLE: David Beltran.",E2 Motor de recorrido web,S4,David Beltran,3,S4;E2;rendimiento;resp-david-beltran
Story,HU-22 Ajustar calidad segun el dispositivo,"Como sistema debo adaptar el render a las capacidades del dispositivo. Implementa RF-022, RF-019, RNF-001 y RNF-016. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) splatBudget diferenciado entre escritorio y movil; (2) antialiasing desactivado y device pixel ratio limitado en movil; (3) QualityProfile expone maxSpatialAudioSources, que es la frontera 3 con David; (4) el ajuste es automatico, sin que el usuario tenga que elegir.",E2 Motor de recorrido web,S4,Alejandra Chambueta,8,S4;E2;resp-alejandra-chambueta
Sub-task,HU-22.1 Deteccion de capacidades y perfiles de calidad,"Subtarea de HU-22. QualityProfile.detectFromDevice. Referencias: 1 M de splats en movil, 3+ M en escritorio. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S4,Alejandra Chambueta,5,S4;E2;resp-alejandra-chambueta
Sub-task,HU-22.2 Exponer el presupuesto de audio espacial,"Subtarea de HU-22. maxSpatialAudioSources: 4 en escritorio, 2 en movil, valores por medir. Implementa RNF-016. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S4,Alejandra Chambueta,2,S4;E2;audio;resp-alejandra-chambueta
Sub-task,HU-22.3 Medicion comparativa entre perfiles,"Subtarea de HU-22. Documentar el efecto real de cada ajuste. RESPONSABLE: David Beltran.",E2 Motor de recorrido web,S4,David Beltran,2,S4;E2;rendimiento;resp-david-beltran
Story,HU-23 Sostener 30 fps en gama media,"Como visitante quiero que el recorrido sea fluido en mi celular. Implementa RNF-001. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) 30 fps o mas sostenidos en el dispositivo de referencia recorriendo los 200 m completos; (2) medicion documentada, no impresion subjetiva; (3) decidido si hace falta Streamed SOG, resuelve V11; (4) splatBudget real que sostiene el objetivo, documentado, resuelve V8; (5) la medicion se hace CON la ambientacion sonora espacial activa, no sin ella.",E2 Motor de recorrido web,S4,Alejandra Chambueta,13,S4;E2;rendimiento;resp-alejandra-chambueta
Sub-task,HU-23.1 Perfilado y optimizacion de render,"Subtarea de HU-23. El cuello de botella es el fill rate por sobredibujo con mezcla alfa, no la memoria. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S4,Alejandra Chambueta,5,S4;E2;resp-alejandra-chambueta
Sub-task,HU-23.2 Evaluar Streamed SOG si no se alcanza el objetivo,"Subtarea de HU-23. LOD por streaming con .lod-meta.json. Plan de choque del riesgo R2. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S4,Alejandra Chambueta,5,S4;E2;resp-alejandra-chambueta
Sub-task,HU-23.3 Regenerar escenas con menos gaussianas si hace falta,"Subtarea de HU-23. Reabre trabajo de S2: es el tercer punto de riesgo de calendario. RESPONSABLE: Juan Urrego.",E2 Motor de recorrido web,S4,Juan Urrego,3,S4;E2;captura;resp-juan-urrego
Sub-task,HU-23.4 Bateria de medicion en dispositivos,"Subtarea de HU-23. Medir y registrar fps en el dispositivo de referencia, con y sin audio espacial, para aislar su coste. Cierra A1. RESPONSABLE: David Beltran.",E2 Motor de recorrido web,S4,David Beltran,2,S4;E2;rendimiento;audio;resp-david-beltran
Story,HU-24 Ritmo del recorrido guiado,"Como visitante quiero que el recorrido tenga un ritmo comodo. Implementa RF-003, RF-016 y RNF-005. RESPONSABLE: Alejandra Chambueta. Criterios de aceptacion: (1) velocidad de avance y suavizado definidos y aplicados; (2) el recorrido se detiene o desacelera al llegar a un punto de interes; (3) el usuario mantiene el control: nunca hay una animacion de la que no pueda salir; (4) el ritmo se calibra con la duracion real del recorrido medida en V1.",E2 Motor de recorrido web,S4,Alejandra Chambueta,5,S4;E2;ui-ux;resp-alejandra-chambueta
Sub-task,HU-24.1 Curvas de velocidad y suavizado,"Subtarea de HU-24. Easing del avance sobre el trazado. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,S4,Alejandra Chambueta,3,S4;E2;resp-alejandra-chambueta
Sub-task,HU-24.2 Definir el ritmo y los puntos de parada,"Subtarea de HU-24. Donde desacelera y donde se detiene. RESPONSABLE: Eybar Viasus.",E2 Motor de recorrido web,S4,Eybar Viasus,2,S4;E2;ui-ux;resp-eybar-viasus
Sub-task,HU-24.3 Prueba de sensacion con personas ajenas al equipo,"Subtarea de HU-24. Validar que el ritmo no marea ni aburre. RESPONSABLE: Alberto Aleman.",E2 Motor de recorrido web,S4,Alberto Aleman,1,S4;E2;ui-ux;resp-alberto-aleman
Story,HU-25 Marcadores anclados a coordenadas reales,"Como visitante quiero ver marcadores en los lugares reales del tramo. Implementa RF-006. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) los marcadores flotan anclados a coordenadas reales, no a la pantalla; (2) se mantienen en su sitio al rotar la camara y al avanzar; (3) legibles a distintas distancias, sin taparse entre si; (4) 5 o 6 marcadores colocados en las coordenadas decididas en V1; (5) tres estados diferenciados por forma y tamano ademas de por color, lo exige RNF-006; (6) los de fauna y flora en verde, los de agua en verde-azulado, los de patrimonio en gris.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,13,S5;E3;resp-david-beltran
Sub-task,HU-25.1 Sistema de anclaje de marcadores en espacio 3D,"Subtarea de HU-25. PoiManager con anchor en coordenadas de escena. Escucha tour:progress, nunca lee la camara. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,8,S5;E3;resp-david-beltran
Sub-task,HU-25.2 Disenar el marcador y sus estados,"Subtarea de HU-25. Reposo, cercano, activo, con las tres variantes de tipo. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S5,Eybar Viasus,3,S5;E3;ui-ux;resp-eybar-viasus
Sub-task,HU-25.3 Ubicar los POIs sobre las escenas,"Subtarea de HU-25. Colocar los 5 o 6 puntos en sus coordenadas reales, tomadas del registro de V1. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S5,Felipe Acevedo,3,S5;E3;3d-asset;resp-felipe-acevedo
Story,HU-26 Abrir la ficha de un punto de interes,"Como visitante quiero abrir la ficha de un POI y entender que estoy viendo. Implementa RF-007, RF-008, RF-010, RF-031 y RNF-010. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) al activar un marcador se abre el panel de ficha; (2) muestra nombre comun y nombre cientifico en cursiva; (3) muestra la altura a la que vive la especie y como identificarla en campo; (4) muestra CONSEJOS DE AVISTAMIENTO: cuando, donde y como buscarla, que es RF-031; (5) todo el contenido en espanol; (6) colibri chillon, puente de madera y helecho arboreo funcionando como POIs reales.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,8,S5;E3;resp-david-beltran
Sub-task,HU-26.1 Panel de ficha y ciclo de apertura y cierre,"Subtarea de HU-26. PoiCard.open y PoiCard.close. PoiCard no toca la camara: pide guardar y restaurar. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,5,S5;E3;resp-david-beltran
Sub-task,HU-26.2 Disenar el panel y la jerarquia de informacion,"Subtarea de HU-26. Que lo importante se lea primero. Esquema en docs/06-identidad-visual.md seccion 4. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S5,Eybar Viasus,3,S5;E3;ui-ux;resp-eybar-viasus
Sub-task,HU-26.3 Contenido verificado de cada ficha,"Subtarea de HU-26. Colibri coruscans vive entre 1700 y 3500 msnm. Redactar los consejos de avistamiento de cada especie a partir de lo observado en V1. Lo no verificado se marca, no se rellena. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S5,Felipe Acevedo,3,S5;E3;docs;resp-felipe-acevedo
Story,HU-48 Puntos de interes patrimoniales e historicos,"Como visitante quiero ver en detalle las puertas derrumbadas, los muros, los monumentos y los tramos de camino con historia. Implementa RF-030. RESPONSABLE: Alberto Aleman. Criterios de aceptacion: (1) nuevo tipo de POI patrimonio soportado por pois.json con los campos historicalNote, period y sourceUrl; (2) al menos un POI patrimonial completo y consultable; (3) sourceUrl es OBLIGATORIO: un dato historico sin fuente citable no se publica; (4) si no hay fuente, la ficha describe lo que se ve y marca la historia como por verificar, sin inventarla; (5) la ficha omite los campos de distribucion altitudinal, que no aplican; (6) el marcador usa el gris de patrimonio, no el verde de lo vivo.",E3 Puntos de interes fichas 3D y sonido,S5,Alberto Aleman,8,S5;E3;docs;resp-alberto-aleman
Sub-task,HU-48.1 Investigar y verificar la historia de cada elemento,"Subtarea de HU-48. A partir de lo identificado en V1. Buscar fuente citable para cada afirmacion historica. Lo que no tenga fuente se queda como por verificar. RESPONSABLE: Alberto Aleman.",E3 Puntos de interes fichas 3D y sonido,S5,Alberto Aleman,3,S5;E3;docs;resp-alberto-aleman
Sub-task,HU-48.2 Soportar el tipo patrimonio en el sistema de POIs,"Subtarea de HU-48. Extender el esquema y la ficha para el tipo patrimonio, con sus campos propios y sin los de especie. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,3,S5;E3;resp-david-beltran
Sub-task,HU-48.3 Disenar la variante patrimonial de la ficha,"Subtarea de HU-48. Marcador gris y ficha con la nota historica y su fuente visible. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S5,Eybar Viasus,2,S5;E3;ui-ux;resp-eybar-viasus
Story,HU-27 Visor 3D girable con acercamiento,"Como visitante quiero girar y acercar el modelo de la ficha. Implementa RF-009, RF-029 y RNF-012. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) el modelo se puede girar y acercar libremente; (2) colores y forma reconocibles; (3) funciona con gesto tactil y con raton; (4) la animacion idle de aleteo corre desde que se abre la ficha; (5) cargar el modelo no rompe el rendimiento de la escena de fondo.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,13,S5;E3;resp-david-beltran
Sub-task,HU-27.1 Visor 3D dentro del panel de ficha,"Subtarea de HU-27. ModelViewer con rotate y zoom, y reproduccion del clip idleAnimation en bucle. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,8,S5;E3;resp-david-beltran
Sub-task,HU-27.2 Ajustar modelos y materiales para el visor,"Subtarea de HU-27. Que se vean bien fuera del contexto de la escena. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S5,Felipe Acevedo,3,S5;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-27.3 Encuadre iluminacion y controles del visor,"Subtarea de HU-27. Que el modelo entre bien encuadrado al abrir, con la animacion ya corriendo. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S5,Eybar Viasus,3,S5;E3;ui-ux;resp-eybar-viasus
Story,HU-28 Narracion canto y transcripcion,"Como visitante quiero escuchar la narracion y el canto, cuando yo lo decida. Implementa RF-011, RF-012, RF-024, RNF-006 y RNF-008. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) la narracion se reproduce SOLO cuando el usuario la activa, nunca automaticamente; (2) el canto esta disponible en los POIs de fauna; (3) la transcripcion es accesible desde la ficha; (4) controles de reproduccion claros y apagados al abrir; (5) al cerrar la ficha se detiene todo el audio de ficha, sin cortar la ambientacion.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,8,S5;E3;audio;resp-david-beltran
